3272313,GOBARDHANPUR COASTAL,304
3272401,MAHESHTALA,304
3272402,BUDGE BUDGE,304
3272403,RABINDRANAGAR,304
3272404,NODAKHALI,304
3272405,BISHNUPUR,304
3272406,DIAMOND HARBOUR,304
3272407,FALTA,304
3272408,RAMNAGAR,304
3272409,USTHI,304
3272410,MOGRAHAT,304
3272411,DIAMOND HARBOUR PARULIA COASTAL,304
3272412,DIAMOND HARBOUR WOMEN,304
3280501,BALLYGUNGE,315
3280502,GARIAHAT,315
3280503,LAKE,315
3280504,TOPSIA,315
3280505,TANGRA,315
3280506,KARAYA,315
3280507,PRAGATI MAIDAN,315
3280508,TILJALA,315
3280509,ANANDAPUR,315
3280601,JADAVPUR,315
3280602,PURBA JADAVPUR,315
3280603,PATULI,315
3280604,SURVEY PARK,315
3280605,KASBA,315
3280606,GARFA,315
3280607,REGENT PARK,315
3280608,BANSDRONI,315
3280609,NETAJI NAGAR,315
3280610,PANCHASAYER,315
3280901,BEHALA,315
3280902,PARNASREE,315
3280903,THAKURPUKUR,315
3280904,HARIDEVPUR,315
3280905,TARATALA,315
3280906,SARSUNA,315
3281801,BIDHANNAGAR(NORTH),303
3281802,BIDHANNAGAR(SOUTH),303
3281803,BIDHANNAGAR(EAST),303
3281804,ELECTRONIC COMPLEX,303
3281805,LAKE TOWN,303
3281806,BAGUIATI,303
3281807,NEW TOWN,303
3281808,AIRPORT,303
3281809,NSCBI AIRPORT,303
3281810,RAJARHAT,303
3281811,BIDHANNAGAR WOMEN PS,303
3281899,BIDHANNAGAR CYBER,303
3281902,NAIHATI,303
3281903,JAGADDAL,303
3281904,NOAPARA,303
3281906,TITAGARH,303
3281907,KHARDAH,303
3281908,GHOLA,303
3281909,BELGHARIA,303
3281910,BARANAGAR,303
3281911,NIMTA,303
3281912,DUM DUM,303
3281913,BARRACKPORE,303
3281915,BIZPUR,303
3281916,NEW BARRACKPORE,303
3281917,BARRACKPORE WOMEN,303
3282001,BHADRESWAR,312
3282002,CHANDANNAGAR,312
3282003,CHINSURAH,312
3282004,CHINSURAH WOMEN,312
3282005,DANKUNI,312
3282006,RISHRA,312
3282007,SERAMPORE,312
3282008,SERAMPORE WOMEN,312
3282009,UTTARPARA,312
3298801,AMDANGA,303
3298802,ASHOKENAGAR,303
3298803,BAGDAH,303
3298804,BARASAT,303
3298805,BARASAT WOMEN,303
3298806,BONGAON,303
3298807,BONGAON WOMEN,303
3298808,DEGANGA,303
3298809,GAIGHATA,303
3298810,GOPALNAGAR,303
3298811,HABRA,303
3298812,MADHAYAMGRAM,303
3298813,PETRAPOLE,303
3298814,SASHAN,303
3298815,DUTTAPUKUR,303
3298901,BADURIA,303
3298902,BASIRHAT,303
3298903,HAROA,303
3298904,HASNABAD,303
3298905,HEMNAGAR COASTAL,303
3298906,HINGALGANJ,303
3298907,MINAKHAN,303
3298908,NAZAT,303
3298909,SWARUPNAGAR,303
3298910,MATIA,303
3298911,SANDESHKHALI,303
3299601,BARUIPUR,303
3299602,SONARPUR,303
3299603,JOYNAGAR,303
3299604,BASANTI,303
3299605,BHANGORE,303
3299606,CANNING,303
3299607,GOSABA,303
3299608,JIBANTALA,303
3299609,KULTALI,303
3299610,MAIPITH COASTAL,303
3299611,KASHIPUR,303
3299612,JHARKHALI COSTAL,303
3299613,SUNDARBAN (HALDIBARI) COASTAL,303
3299614,BARUIPUR WOMEN,303
3299615,CANNING WOMEN,303
3299701,FALAKATA,664
3299702,ALIPURDUAR,664
3299703,KUMARGRAM,664
3299704,BIRPARA,664
3299705,MADARIHAT,664
3299706,JAIGOAN,664
3299707,KALCHINI,664
3299708,SAMUKTALA,664
3299801,BALLY,313
3299802,MALLIPANCHGORAH,313
3299803,GOLABARY,313
3299804,HOWRAH,313
3299805,BANTRA,313
3299806,SHIBPUR,313
3299807,JHAGACHA,313
3299808,LILUAH,313
3299809,NISCHINDA,313
3299810,BELUR,313
3299811,DASNAGAR,313
3299812,SANTRAGACHI,313
3299813,HOWRAH WOMEN,313
3299815,AJC BOSE BOTANIC,313
3299816,CHATTERJEEHAT,313
3299901,CHITTARANJAN,306
3299902,KULTI,306
3299903,SALANPUR,306
3299904,HIRAPUR,306
3299905,ASANSOL (S),306
3299906,ASANSOL (N),306
3299907,RANIGANJ,306
3299908,PANDABESWAR,306
3299909,ANDAL,306
3299910,FARIDPUR,306
3299911,DURGAPUR,306
3299912,COKE OVEN,306
3299913,N.T.S.,306
3299914,BARABANI,306
3299915,JAMURIA,306
3299916,ASANSOL WOMEN,306
